0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:39 +0100] "GET /index.jsp HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /tomcat.css HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /asf-logo.png HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:40 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:52:53 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:38 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:39 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:40 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:40 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:41 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:41 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:41 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:42 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:42 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:42 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:43 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:43 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:43 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:44 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:44 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:44 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:44 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
0:0:0:0:0:0:0:1 - - [21/Jan/2019:10:54:45 +0100] "GET /Appli1/index.jsp HTTP/1.1" 500 2578
